num_qubits,quanvolutional,time
29,1,5.400267720222473
29,2,8.262588381767273
29,3,8.273929929733276
29,4,8.265270328521728
29,5,93.88030617237091
29,6,209.14139516353606
29,7,8.340672135353088
29,8,8.34268298149109
29,9,8.012861132621765
29,10,8.273199605941773
29,11,8.340142107009887
29,12,8.336647844314575
29,13,9.130770587921143
29,14,9.148844456672668
29,15,9.122716808319092
29,16,8.334516143798828
29,17,8.357249474525451
29,18,8.571313571929931
29,19,8.60166780948639
30,1,10.840819621086121
30,2,17.06179609298706
30,3,17.065074372291566
30,4,17.068792200088502
30,5,202.31525099277496
30,6,443.1559134721756
30,7,17.06045033931732
30,8,17.072621750831605
30,9,16.59140019416809
30,10,16.87146399021149
30,11,17.041404843330383
30,12,17.050329875946044
30,13,18.884568858146668
30,14,18.90691223144531
30,15,18.797530150413515
30,16,17.052100324630736
30,17,17.07955574989319
30,18,17.45947608947754
30,19,17.487917804718016
