num_qubits,quanvolutional,time
29,1,386.966988325119
29,2,582.9318281412125
29,3,1355.9756066799164
29,4,1355.8712363243103
29,5,22772.428433179855
29,6,22917.718632221222
29,7,1370.143853545189
29,8,1566.6002757549286
29,9,589.1578871011734
29,10,983.6793969869614
29,11,956.2222340106964
29,12,1052.7082433700562
29,13,1284.269474029541
29,14,1704.9013837575912
29,15,620.5792374610901
29,16,984.9979665279388
29,17,1370.3520535230637
29,18,984.5237909555435
29,19,1371.9702486991882
30,1,801.901448726654
30,2,1220.5389641523361
30,3,2838.8181167840958
30,4,2835.7750750780106
30,5,48851.365097403526
30,6,48773.09689426422
30,7,2847.271229863167
30,8,3229.0068262815475
30,9,1207.705738067627
30,10,2016.1169624328613
30,11,1976.1182036399841
30,12,2208.5005445480347
30,13,2646.9141063690186
30,14,3485.874812722206
30,15,1270.0021487474442
30,16,2015.53440117836
30,17,2821.4733082056046
30,18,2039.857198357582
30,19,2842.1927090883255
