num_qubits,quanvolutional,time
27,1,88.95625236034394
27,2,135.5912192583084
27,3,315.37005786895753
27,4,315.2863466501236
27,5,4948.253148412705
27,6,4940.861424851418
27,7,315.0378512620926
27,8,359.85656037330625
27,9,135.34995501041413
27,10,226.03728408813475
27,11,219.21615953445433
27,12,241.96187660694122
27,13,296.9785287857056
27,14,394.26657502651216
27,15,143.14514179229735
27,16,225.92376093864442
27,17,314.80051679611205
27,18,225.35371696949005
27,19,315.16320700645446
28,1,184.1666754245758
28,2,283.51579411029815
28,3,659.3351860284805
28,4,659.3428105592727
28,5,10564.522087979316
28,6,10613.458892965316
28,7,660.8179384946823
28,8,743.2320274353027
28,9,280.42164597511294
28,10,468.20955259799956
28,11,463.0864233493805
28,12,511.5618228673935
28,13,619.8276370048522
28,14,820.0618877410889
28,15,299.13246471881865
28,16,473.8611719608307
28,17,656.4882824659347
28,18,470.234622335434
28,19,659.9986708402633
29,1,386.4068205833435
