num_qubits,quanvolutional,time
3,1,0.008811378479003906
3,2,0.009101176261901855
3,3,0.009059739112854005
3,4,0.00904254913330078
3,5,0.01631274223327637
3,6,0.010271859169006348
3,7,0.011110138893127442
3,8,0.010720062255859374
3,9,0.008852839469909668
3,10,0.008920073509216309
3,11,0.009104394912719726
3,12,0.009128618240356445
3,13,0.01084740161895752
3,14,0.010972952842712403
3,15,0.009189653396606445
3,16,0.009002256393432616
3,17,0.008981442451477051
3,18,0.009073543548583984
3,19,0.009140920639038087
4,1,0.010393881797790527
4,2,0.009327578544616699
4,3,0.010783147811889649
4,4,0.011037778854370118
4,5,0.011280345916748046
4,6,0.01116321086883545
4,7,0.010338020324707032
4,8,0.010338807106018066
4,9,0.009196186065673828
4,10,0.010797739028930664
4,11,0.0098175048828125
4,12,0.015699052810668947
4,13,0.011066746711730958
4,14,0.009592318534851074
4,15,0.011007332801818847
4,16,0.009348869323730469
4,17,0.009397220611572266
4,18,0.009522008895874023
4,19,0.011034774780273437
5,1,0.010497617721557616
5,2,0.009645581245422363
5,3,0.009917426109313964
5,4,0.00977475643157959
5,5,0.012322688102722168
5,6,0.014072680473327636
5,7,0.01073284149169922
5,8,0.01071631908416748
5,9,0.009559917449951171
5,10,0.011163949966430664
5,11,0.010362577438354493
5,12,0.010305190086364746
5,13,0.016007637977600096
5,14,0.009924364089965821
5,15,0.009728622436523438
5,16,0.009725594520568847
5,17,0.009766507148742675
5,18,0.013788366317749023
5,19,0.01139845848083496
6,1,0.009553027153015137
6,2,0.010002756118774414
6,3,0.010064411163330077
6,4,0.010137438774108887
6,5,0.015000033378601074
6,6,0.013767862319946289
6,7,0.011458683013916015
6,8,0.011452221870422363
6,9,0.009823465347290039
6,10,0.009840893745422363
6,11,0.01688992977142334
6,12,0.010863184928894043
6,13,0.011779236793518066
6,14,0.015233063697814941
6,15,0.010199141502380372
6,16,0.010122108459472656
6,17,0.010070443153381348
6,18,0.010221147537231445
6,19,0.010189080238342285
7,1,0.009847807884216308
7,2,0.010451245307922363
7,3,0.010452580451965333
7,4,0.01209118366241455
7,5,0.015450668334960938
7,6,0.015484452247619629
7,7,0.01780846118927002
7,8,0.011717867851257325
7,9,0.010118842124938965
7,10,0.010359764099121094
7,11,0.011387038230895995
7,12,0.011385273933410645
7,13,0.010663461685180665
7,14,0.012502646446228028
7,15,0.010549402236938477
7,16,0.010493588447570801
7,17,0.010431170463562012
7,18,0.010655736923217774
7,19,0.010518312454223633
8,1,0.010090875625610351
8,2,0.01279149055480957
8,3,0.010865497589111327
8,4,0.010800671577453614
8,5,0.01757633686065674
8,6,0.02379939556121826
8,7,0.014262247085571288
8,8,0.012458205223083496
8,9,0.010439825057983399
8,10,0.010573339462280274
8,11,0.011976289749145507
8,12,0.011929535865783691
8,13,0.011095523834228516
8,14,0.01094350814819336
8,15,0.011028456687927245
8,16,0.012060117721557618
8,17,0.010764026641845703
8,18,0.010853433609008789
8,19,0.01087646484375
9,1,0.010310792922973632
9,2,0.012554788589477539
9,3,0.011137723922729492
9,4,0.011212968826293945
9,5,0.02564539909362793
9,6,0.01987881660461426
9,7,0.01288619041442871
9,8,0.012921881675720216
9,9,0.010928750038146973
9,10,0.01099851131439209
9,11,0.012647032737731934
9,12,0.012488150596618652
9,13,0.012872004508972168
9,14,0.011504507064819336
9,15,0.019109654426574706
9,16,0.011078596115112305
9,17,0.011233711242675781
9,18,0.011221170425415039
9,19,0.01129302978515625
10,1,0.010511207580566406
10,2,0.011569356918334961
10,3,0.013163161277770997
10,4,0.01286327838897705
10,5,0.022970175743103026
10,6,0.02331962585449219
10,7,0.014043140411376952
10,8,0.01551513671875
